Alpha;Beta;Gamma;Eredmény;Ütközés;Min_Távolság;Lépésszám;Átlag_Sebesség
1;8;10;TIMEOUT;False;0.172;599;0.51
1;9;0;TIMEOUT;False;0.447;599;0.377
1;9;1;SIKER;False;0.15;219;0.442
1;9;2;SIKER;False;0.15;214;0.462
1;9;3;SIKER;False;0.151;205;0.477
1;9;4;SIKER;False;0.151;204;0.481
1;9;5;SIKER;False;0.152;206;0.481
1;9;6;SIKER;False;0.15;210;0.478
1;9;7;TIMEOUT;False;0.172;599;0.51
1;9;8;TIMEOUT;False;0.172;599;0.51
1;9;9;TIMEOUT;False;0.172;599;0.51
1;9;10;TIMEOUT;False;0.172;599;0.51
1;10;0;TIMEOUT;False;0.447;599;0.377
1;10;1;SIKER;False;0.15;219;0.442
1;10;2;SIKER;False;0.15;214;0.462
1;10;3;SIKER;False;0.151;205;0.477
1;10;4;SIKER;False;0.151;204;0.481
1;10;5;SIKER;False;0.152;206;0.481
1;10;6;SIKER;False;0.15;210;0.478
1;10;7;TIMEOUT;False;0.172;599;0.51
1;10;8;TIMEOUT;False;0.172;599;0.51
1;10;9;TIMEOUT;False;0.172;599;0.51
1;10;10;TIMEOUT;False;0.172;599;0.51
2;0;0;TIMEOUT;False;0.135;599;0.026
2;0;1;TIMEOUT;False;0.14;599;0.028
2;0;2;TIMEOUT;False;0.078;599;0.04
2;0;3;TIMEOUT;False;0.067;599;0.041
2;0;4;TIMEOUT;False;0.11;599;0.043
2;0;5;TIMEOUT;False;0.1;599;0.045
2;0;6;TIMEOUT;False;0.1;599;0.045
2;0;7;TIMEOUT;False;0.092;599;0.05
2;0;8;TIMEOUT;False;0.099;599;0.05
2;0;9;TIMEOUT;False;0.103;599;0.051
2;0;10;TIMEOUT;False;0.124;599;0.05
2;1;0;TIMEOUT;False;0.447;599;0.377
2;1;1;TIMEOUT;False;0.069;599;0.421
2;1;2;SIKER;False;0.15;219;0.442
2;1;3;SIKER;False;0.151;219;0.463
2;1;4;SIKER;False;0.15;214;0.462
2;1;5;SIKER;False;0.15;204;0.479
2;1;6;SIKER;False;0.151;205;0.477
2;1;7;SIKER;False;0.151;204;0.48
2;1;8;SIKER;False;0.151;204;0.481
2;1;9;SIKER;False;0.151;204;0.482
2;1;10;SIKER;False;0.152;206;0.481
2;2;0;TIMEOUT;False;0.447;599;0.377
2;2;1;TIMEOUT;False;0.069;599;0.421
2;2;2;SIKER;False;0.15;219;0.442
2;2;3;SIKER;False;0.151;219;0.463
2;2;4;SIKER;False;0.15;214;0.462
2;2;5;SIKER;False;0.15;204;0.479
2;2;6;SIKER;False;0.151;205;0.477
2;2;7;SIKER;False;0.151;204;0.48
2;2;8;SIKER;False;0.151;204;0.481
2;2;9;SIKER;False;0.151;204;0.482
2;2;10;SIKER;False;0.152;206;0.481
2;3;0;TIMEOUT;False;0.447;599;0.377
2;3;1;TIMEOUT;False;0.069;599;0.421
2;3;2;SIKER;False;0.15;219;0.442
2;3;3;SIKER;False;0.151;219;0.463
2;3;4;SIKER;False;0.15;214;0.462
2;3;5;SIKER;False;0.15;204;0.479
2;3;6;SIKER;False;0.151;205;0.477
2;3;7;SIKER;False;0.151;204;0.48
2;3;8;SIKER;False;0.151;204;0.481
2;3;9;SIKER;False;0.151;204;0.482
2;3;10;SIKER;False;0.152;206;0.481
2;4;0;TIMEOUT;False;0.447;599;0.377
2;4;1;TIMEOUT;False;0.069;599;0.421
2;4;2;SIKER;False;0.15;219;0.442
2;4;3;SIKER;False;0.151;219;0.463
2;4;4;SIKER;False;0.15;214;0.462
2;4;5;SIKER;False;0.15;204;0.479
2;4;6;SIKER;False;0.151;205;0.477
2;4;7;SIKER;False;0.151;204;0.48
2;4;8;SIKER;False;0.151;204;0.481
2;4;9;SIKER;False;0.151;204;0.482
2;4;10;SIKER;False;0.152;206;0.481
2;5;0;TIMEOUT;False;0.447;599;0.377
2;5;1;TIMEOUT;False;0.069;599;0.421
2;5;2;SIKER;False;0.15;219;0.442
2;5;3;SIKER;False;0.151;219;0.463
2;5;4;SIKER;False;0.15;214;0.462
2;5;5;SIKER;False;0.15;204;0.479
2;5;6;SIKER;False;0.151;205;0.477
2;5;7;SIKER;False;0.151;204;0.48
2;5;8;SIKER;False;0.151;204;0.481
2;5;9;SIKER;False;0.151;204;0.482
2;5;10;SIKER;False;0.152;206;0.481
2;6;0;TIMEOUT;False;0.447;599;0.377
2;6;1;TIMEOUT;False;0.069;599;0.421
2;6;2;SIKER;False;0.15;219;0.442
2;6;3;SIKER;False;0.151;219;0.463
2;6;4;SIKER;False;0.15;214;0.462
2;6;5;SIKER;False;0.15;204;0.479
2;6;6;SIKER;False;0.151;205;0.477
